exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0068,0.0078,0.7293,0.006,+0.0008
Ex02,HS,0.0061,0.0084,0.7182,0.008,-0.0019
Ex03,IL,0.0105,0.0144,1.6138,0.009,+0.0015
Ex04,SL,0.0119,0.0173,1.2940,0.006,+0.0059
Ex05,SS,0.0060,0.0077,0.6409,0.003,+0.0030
Ex06,SLR,0.0076,0.0131,4.6053,0.004,+0.0036
Ex07,SA,0.0031,0.0039,0.3639,0.009,-0.0059
Ex08,SE,0.0070,0.0097,0.8107,0.013,-0.0060
Ex09,SIR,0.0069,0.0084,0.7515,0.006,+0.0009
Ex10,SS2,0.0048,0.0061,0.5930,0.028,-0.0232
AVERAGE,,0.0071,0.0097,1.2121,0.009,-0.0021
