exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0278,0.0464,3.1888,0.006,+0.0218
Ex02,HS,0.0335,0.0494,4.1340,0.008,+0.0255
Ex03,IL,0.0305,0.0424,4.2149,0.009,+0.0215
Ex04,SL,0.0211,0.0316,2.3709,0.006,+0.0151
Ex05,SS,0.0207,0.0446,2.5241,0.003,+0.0177
Ex06,SLR,0.0838,0.2534,116.8170,0.004,+0.0798
Ex07,SA,0.0390,0.1221,7.1195,0.009,+0.0300
Ex08,SE,0.0572,0.0996,7.5258,0.013,+0.0442
Ex09,SIR,0.0308,0.0398,3.4143,0.006,+0.0248
Ex10,SS2,0.0300,0.0443,3.5761,0.028,+0.0020
AVERAGE,,0.0374,0.0774,15.4885,0.009,+0.0282
