exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0049,0.0062,0.5342,0.006,-0.0011
Ex02,HS,0.0073,0.0099,0.8781,0.008,-0.0007
Ex03,IL,0.0054,0.0078,0.8495,0.009,-0.0036
Ex04,SL,0.0118,0.0182,1.2943,0.006,+0.0058
Ex05,SS,0.0047,0.0066,0.5077,0.003,+0.0017
Ex06,SLR,0.0067,0.0096,2.6114,0.004,+0.0027
Ex07,SA,0.0039,0.0051,0.4710,0.009,-0.0051
Ex08,SE,0.0065,0.0085,0.7744,0.013,-0.0065
Ex09,SIR,0.0068,0.0086,0.7419,0.006,+0.0008
Ex10,SS2,0.0060,0.0075,0.7463,0.028,-0.0220
AVERAGE,,0.0064,0.0088,0.9409,0.009,-0.0028
