exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0291,0.0493,3.3460,0.006,+0.0231
Ex02,HS,0.0348,0.0512,4.2102,0.008,+0.0268
Ex03,IL,0.0289,0.0371,4.0677,0.009,+0.0199
Ex04,SL,0.0197,0.0321,2.2158,0.006,+0.0137
Ex05,SS,0.0316,0.0507,3.7744,0.003,+0.0286
Ex06,SLR,0.0838,0.2520,116.1730,0.004,+0.0798
Ex07,SA,0.0410,0.1245,7.3749,0.009,+0.0320
Ex08,SE,0.0607,0.1057,7.7196,0.013,+0.0477
Ex09,SIR,0.0247,0.0353,2.8780,0.006,+0.0187
Ex10,SS2,0.0355,0.0563,4.3761,0.028,+0.0075
AVERAGE,,0.0390,0.0794,15.6136,0.009,+0.0298
