exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0111,0.0142,1.1800,0.006,+0.0051
Ex02,HS,0.0104,0.0133,1.1901,0.008,+0.0024
Ex03,IL,0.0083,0.0094,1.0427,0.009,-0.0007
Ex04,SL,0.0103,0.0220,1.1358,0.006,+0.0043
Ex05,SS,0.0066,0.0083,0.7276,0.003,+0.0036
Ex06,SLR,0.0084,0.0107,3.3568,0.004,+0.0044
Ex07,SA,0.0065,0.0090,0.8404,0.009,-0.0025
Ex08,SE,0.0100,0.0116,1.1628,0.013,-0.0030
Ex09,SIR,0.0108,0.0125,1.2025,0.006,+0.0048
Ex10,SS2,0.0075,0.0095,0.9570,0.028,-0.0205
AVERAGE,,0.0090,0.0120,1.2796,0.009,-0.0002
