exercise,exercise_name,MAD,RMSE,MAPE,paper_MAD
Ex01,DS,0.174510,0.233299,32.9429,0.006
Ex02,HS,0.041389,0.045938,4.7436,0.008
Ex03,IL,0.133760,0.179126,20.3474,0.009
Ex04,SL,0.269319,0.418468,17.1319,0.006
Ex05,SS,0.086696,0.095849,8.8629,0.003
Ex06,SLR,0.093900,0.094813,9.7482,0.004
Ex07,SA,0.017420,0.019812,1.9439,0.009
Ex08,SE,0.018369,0.018437,2.5565,0.013
Ex09,SIR,0.040735,0.049305,4.7993,0.006
Ex10,SS2,0.056491,0.071776,6.4867,0.028
AVERAGE,ALL,0.096248,0.180882,10.4876,0.009
