exercise,exercise_name,MAD,RMSE,MAPE,paper_MAD
Ex01,DS,0.057731,0.169495,3.6519,0.006
Ex02,HS,0.024454,0.045094,2.7724,0.008
Ex03,IL,0.053426,0.108564,8.8266,0.009
Ex04,SL,0.076313,0.120258,12.9280,0.006
Ex05,SS,0.119438,0.162687,29.8091,0.003
Ex06,SLR,0.099927,0.215568,20.3002,0.004
Ex07,SA,0.037335,0.048349,4.3192,0.009
Ex08,SE,0.018403,0.025985,2.0220,0.013
Ex09,SIR,0.032440,0.057967,3.8600,0.006
Ex10,SS2,0.003426,0.004974,0.3472,0.028
AVERAGE,ALL,0.054099,0.116262,9.4556,0.009
