exercise,exercise_name,MAD,RMSE,MAPE,paper_MAD
Ex01,DS,0.050392,0.103922,8.9786,0.006
Ex02,HS,0.046832,0.104762,6.7242,0.008
Ex03,IL,0.063116,0.151222,14.0494,0.009
Ex04,SL,0.045814,0.122789,8.2281,0.006
Ex05,SS,0.057832,0.097756,7.7315,0.003
Ex06,SLR,0.077351,0.142787,14.0688,0.004
Ex07,SA,0.020852,0.105290,5.7791,0.009
Ex08,SE,0.013229,0.048983,1.8059,0.013
Ex09,SIR,0.013137,0.030981,1.4437,0.006
Ex10,SS2,0.007298,0.019140,0.7815,0.028
AVERAGE,ALL,0.040109,0.101947,6.9743,0.009
