exercise,exercise_name,MAD,RMSE,MAPE,paper_MAD
Ex01,DS,0.051808,0.105958,9.2012,0.006
Ex02,HS,0.046355,0.103983,6.6619,0.008
Ex03,IL,0.065401,0.152244,14.3265,0.009
Ex04,SL,0.046738,0.124357,8.3792,0.006
Ex05,SS,0.058867,0.101068,7.9083,0.003
Ex06,SLR,0.079771,0.145896,14.4119,0.004
Ex07,SA,0.022275,0.105272,5.9173,0.009
Ex08,SE,0.015602,0.049738,2.0510,0.013
Ex09,SIR,0.016047,0.030699,1.7323,0.006
Ex10,SS2,0.008354,0.019511,0.8877,0.028
AVERAGE,ALL,0.041616,0.103265,7.1619,0.009
