exercise,exercise_name,MAD,RMSE,MAPE,paper_MAD
Ex01,DS,0.053309,0.105361,9.3136,0.006
Ex02,HS,0.045030,0.100345,6.4580,0.008
Ex03,IL,0.070823,0.149167,14.6802,0.009
Ex04,SL,0.046596,0.121272,8.2559,0.006
Ex05,SS,0.057567,0.097594,7.7058,0.003
Ex06,SLR,0.076045,0.141147,13.8960,0.004
Ex07,SA,0.028341,0.104183,6.4638,0.009
Ex08,SE,0.013870,0.047515,1.8557,0.013
Ex09,SIR,0.022145,0.032184,2.3353,0.006
Ex10,SS2,0.014261,0.021159,1.4757,0.028
AVERAGE,ALL,0.043242,0.100906,7.2539,0.009
