exercise,exercise_name,MAD,RMSE,MAPE,paper_MAD
Ex01,DS,0.049050,0.097756,8.4172,0.006
Ex02,HS,0.040695,0.087625,5.7567,0.008
Ex03,IL,0.054003,0.132585,12.1113,0.009
Ex04,SL,0.042995,0.116668,7.8070,0.006
Ex05,SS,0.049461,0.084784,6.6159,0.003
Ex06,SLR,0.064785,0.120191,11.5720,0.004
Ex07,SA,0.018189,0.093451,5.0793,0.009
Ex08,SE,0.013023,0.054126,1.7849,0.013
Ex09,SIR,0.012282,0.031446,1.3624,0.006
Ex10,SS2,0.006227,0.018298,0.6720,0.028
AVERAGE,ALL,0.035644,0.091156,6.1528,0.009
