exercise,exercise_name,MAD,RMSE,MAPE,paper_MAD
Ex01,DS,0.029451,0.068396,5.5905,0.006
Ex02,HS,0.024214,0.055082,3.3154,0.008
Ex03,IL,0.018778,0.038736,3.2132,0.009
Ex04,SL,0.020237,0.058025,2.1687,0.006
Ex05,SS,0.027575,0.053654,3.6481,0.003
Ex06,SLR,0.036356,0.075866,6.6172,0.004
Ex07,SA,0.019740,0.105571,5.7052,0.009
Ex08,SE,0.012202,0.047844,1.6885,0.013
Ex09,SIR,0.009572,0.023230,1.0503,0.006
Ex10,SS2,0.006024,0.019033,0.6528,0.028
AVERAGE,ALL,0.020706,0.059678,3.3839,0.009
