exercise,exercise_name,MAD,RMSE,MAPE,paper_MAD
Ex01,DS,0.500026,0.500064,49.3885,0.006
Ex02,HS,0.500149,0.500207,50.4830,0.008
Ex03,IL,0.499779,0.499813,49.4938,0.009
Ex04,SL,0.498892,0.498910,49.6894,0.006
Ex05,SS,0.499158,0.499180,49.4513,0.003
Ex06,SLR,0.499200,0.499220,49.9901,0.004
Ex07,SA,0.499121,0.499226,50.9128,0.009
Ex08,SE,0.502078,0.502890,51.8244,0.013
Ex09,SIR,0.499657,0.499743,50.8669,0.006
Ex10,SS2,0.499498,0.499638,51.1050,0.028
AVERAGE,ALL,0.499756,0.499890,50.3205,0.009
