exercise,exercise_name,MAD,RMSE,MAPE,paper_MAD
Ex01,DS,0.069665,0.174506,5.2006,0.006
Ex02,HS,0.084605,0.089678,8.7962,0.008
Ex03,IL,0.055260,0.114828,9.2480,0.009
Ex04,SL,0.093156,0.144208,15.7102,0.006
Ex05,SS,0.250769,0.334061,68.0190,0.003
Ex06,SLR,0.115075,0.227215,21.9008,0.004
Ex07,SA,0.037181,0.051588,4.1813,0.009
Ex08,SE,0.098261,0.100711,10.4428,0.013
Ex09,SIR,0.054469,0.068959,6.1463,0.006
Ex10,SS2,0.140174,0.141204,14.1317,0.028
AVERAGE,ALL,0.103962,0.170689,17.8302,0.009
