exercise,exercise_name,MAD,RMSE,MAPE,paper_MAD
Ex01,DS,0.061833,0.066169,4.9817,0.006
Ex02,HS,0.404369,0.443674,22.9623,0.008
Ex03,IL,0.424285,0.572465,7.6325,0.009
Ex04,SL,0.395753,0.529799,67.6842,0.006
Ex05,SS,0.448332,0.584965,44.3512,0.003
Ex06,SLR,0.460170,0.578922,80.9384,0.004
Ex07,SA,0.286022,0.332646,24.8965,0.009
Ex08,SE,0.378676,0.527294,12.3211,0.013
Ex09,SIR,0.484472,0.598498,13.4183,0.006
Ex10,SS2,0.356188,0.393075,51.1301,0.028
AVERAGE,ALL,0.370010,0.488709,33.0316,0.009
