exercise,exercise_name,MAD,RMSE,MAPE,paper_MAD
Ex01,DS,0.043445,0.086402,7.6074,0.006
Ex02,HS,0.036869,0.081049,5.1752,0.008
Ex03,IL,0.038291,0.081273,7.5693,0.009
Ex04,SL,0.034291,0.088397,5.6609,0.006
Ex05,SS,0.042501,0.076597,5.7328,0.003
Ex06,SLR,0.055533,0.099708,9.0268,0.004
Ex07,SA,0.013075,0.055133,3.3323,0.009
Ex08,SE,0.013082,0.056684,1.7848,0.013
Ex09,SIR,0.011302,0.029416,1.2550,0.006
Ex10,SS2,0.005829,0.015953,0.6253,0.028
AVERAGE,ALL,0.029941,0.072240,4.8384,0.009
