Exercise,Name,ROM_MAE_deg,MPJPE_mm
Ex01,Deep Squat,3.7434,65.98
Ex02,Hurdle Step,4.3151,70.79
Ex03,Inline Lunge,5.2881,72.83
Ex04,Side Lunge,5.7299,88.84
Ex05,Sit to Stand,3.6935,67.30
Ex06,Straight Leg Raise,3.9093,99.20
Ex07,Shoulder Abduction,3.8709,87.18
Ex08,Shoulder Extension,4.4580,164.09
Ex09,Shoulder Int-Ext Rot,2.9866,81.78
Ex10,Shoulder Scaption,4.1692,77.35
AVERAGE,All Exercises,4.2193,85.98
